epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.403,0.72546,1.75741,0.00628,0.77468,0.77262,0.85136,0.77537,0.46863,0.79307,0.00547,0.000331707,0.000331707,0.067161
2,101.319,0.57761,0.89035,0.00505,0.801,0.89149,0.93917,0.86178,0.44687,0.59213,0.00517,0.000648581,0.000648581,0.0341445
3,150.391,0.56706,0.66959,0.00506,0.88756,0.89793,0.95446,0.86544,0.46262,0.41783,0.00554,0.000948954,0.000948954,0.00111156
4,199.448,0.52888,0.55678,0.00464,0.82845,0.90252,0.94273,0.86228,0.45411,0.48922,0.00529,0.00092575,0.00092575,0.00092575
5,248.645,0.52511,0.49796,0.00465,0.88411,0.87548,0.93963,0.88228,0.37199,0.43027,0.00433,0.000901,0.000901,0.000901
6,297.465,0.5362,0.4588,0.00469,0.9056,0.91194,0.9717,0.89025,0.44556,0.36983,0.00534,0.00087625,0.00087625,0.00087625
7,346.391,0.50896,0.43288,0.00449,0.95921,0.91473,0.98061,0.91653,0.39535,0.28481,0.00461,0.0008515,0.0008515,0.0008515
8,395.299,0.49047,0.39074,0.00431,0.92572,0.95727,0.98026,0.91078,0.39499,0.27091,0.00467,0.00082675,0.00082675,0.00082675
9,444.245,0.49834,0.37548,0.00436,0.93149,0.95528,0.97551,0.89798,0.42963,0.27993,0.00499,0.000802,0.000802,0.000802
10,493.376,0.49561,0.36482,0.00426,0.95931,0.9493,0.98729,0.91491,0.39033,0.25434,0.00468,0.00077725,0.00077725,0.00077725
11,542.803,0.47425,0.34382,0.0041,0.95376,0.95665,0.98749,0.92348,0.3761,0.23605,0.00436,0.0007525,0.0007525,0.0007525
12,592.032,0.48588,0.3318,0.00429,0.94699,0.97421,0.98736,0.91304,0.40713,0.23331,0.00488,0.00072775,0.00072775,0.00072775
13,641.119,0.47247,0.3114,0.00415,0.96657,0.96897,0.98644,0.89965,0.45463,0.22599,0.00524,0.000703,0.000703,0.000703
14,690.053,0.47789,0.30893,0.00416,0.97772,0.94603,0.98762,0.92691,0.36904,0.21602,0.00427,0.00067825,0.00067825,0.00067825
15,738.82,0.47306,0.3146,0.00416,0.98022,0.97443,0.9893,0.91218,0.40788,0.21393,0.00483,0.0006535,0.0006535,0.0006535
16,787.542,0.45576,0.29256,0.00393,0.95478,0.97772,0.98928,0.93717,0.3513,0.20857,0.00402,0.00062875,0.00062875,0.00062875
17,835.92,0.44684,0.28607,0.00386,0.95447,0.95926,0.98724,0.92065,0.38121,0.2173,0.00446,0.000604,0.000604,0.000604
18,884.248,0.45652,0.2686,0.00395,0.96653,0.95796,0.98902,0.93726,0.35356,0.21735,0.00404,0.00057925,0.00057925,0.00057925
19,933.184,0.45433,0.26629,0.00386,0.97911,0.95577,0.9895,0.93935,0.33458,0.18507,0.00386,0.0005545,0.0005545,0.0005545
20,982.003,0.44859,0.25739,0.00386,0.97109,0.96766,0.99104,0.94037,0.34508,0.18007,0.00405,0.00052975,0.00052975,0.00052975
21,1030.86,0.43848,0.25363,0.00374,0.96397,0.97523,0.99036,0.93908,0.34115,0.19121,0.00397,0.000505,0.000505,0.000505
22,1079.5,0.43064,0.24517,0.00378,0.97274,0.97011,0.99167,0.93695,0.35667,0.18571,0.00415,0.00048025,0.00048025,0.00048025
23,1128.29,0.43779,0.2398,0.00382,0.97906,0.98076,0.99275,0.93755,0.35409,0.16868,0.00415,0.0004555,0.0004555,0.0004555
24,1176.99,0.44263,0.23238,0.00379,0.97323,0.97887,0.99276,0.93605,0.35277,0.17105,0.00415,0.00043075,0.00043075,0.00043075
25,1225.61,0.41828,0.21876,0.00355,0.96658,0.98019,0.99052,0.94645,0.32307,0.17645,0.00374,0.000406,0.000406,0.000406
26,1274.91,0.4181,0.21386,0.00363,0.97895,0.97317,0.99129,0.93606,0.34313,0.171,0.004,0.00038125,0.00038125,0.00038125
27,1323.81,0.42088,0.22798,0.00354,0.9526,0.97196,0.98918,0.93166,0.35025,0.19698,0.0041,0.0003565,0.0003565,0.0003565
