epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,123.05,0.38636,2.40465,0.21902,0.0222,0.80008,0.05331,0.04866,0.09094,2.23193,0.06645,0.000331707,0.000331707,0.067161
2,232.047,0.18525,1.73364,0.08884,0.08651,0.88009,0.22037,0.15046,0.14899,1.72942,0.09517,0.000648581,0.000648581,0.0341445
3,339.885,0.19803,1.16154,0.09655,0.87931,0.88766,0.91416,0.76269,0.20097,0.45106,0.14734,0.000948954,0.000948954,0.00111156
4,446.909,0.19477,0.42545,0.09767,0.92041,0.9575,0.93648,0.85391,0.12436,0.34487,0.08477,0.00092575,0.00092575,0.00092575
5,554.054,0.16111,0.38287,0.07981,0.97045,0.94333,0.95599,0.88573,0.11546,0.30862,0.08128,0.000901,0.000901,0.000901
6,661.692,0.15874,0.41606,0.08108,0.81076,0.94809,0.85699,0.80306,0.10217,0.36607,0.0719,0.00087625,0.00087625,0.00087625
7,768.426,0.15609,0.39098,0.07735,0.94853,0.95947,0.94568,0.89254,0.09951,0.32308,0.07087,0.0008515,0.0008515,0.0008515
8,875.405,0.15485,0.37033,0.07755,0.95588,0.95881,0.9621,0.8936,0.10986,0.30075,0.07785,0.00082675,0.00082675,0.00082675
9,983.977,0.14619,0.34521,0.07573,0.95253,0.96093,0.96405,0.90926,0.09816,0.26012,0.07011,0.000802,0.000802,0.000802
10,1092.21,0.13813,0.32847,0.07006,0.95437,0.973,0.97329,0.92243,0.09837,0.24073,0.06935,0.00077725,0.00077725,0.00077725
11,1199.63,0.13721,0.31606,0.06943,0.95901,0.96933,0.9674,0.9213,0.09792,0.2315,0.07043,0.0007525,0.0007525,0.0007525
12,1307,0.13243,0.3138,0.06848,0.96548,0.97108,0.97766,0.94039,0.08985,0.22806,0.06501,0.00072775,0.00072775,0.00072775
13,1413.83,0.13316,0.30648,0.06834,0.9247,0.9704,0.94307,0.89725,0.09544,0.26196,0.06844,0.000703,0.000703,0.000703
14,1520.69,0.13341,0.3325,0.06584,0.88629,0.97354,0.91983,0.87066,0.10082,0.3066,0.06862,0.00067825,0.00067825,0.00067825
15,1627.69,0.13234,0.32414,0.06595,0.94429,0.96915,0.96762,0.9088,0.10388,0.26353,0.07027,0.0006535,0.0006535,0.0006535
16,1733.99,0.13128,0.2926,0.06572,0.97127,0.96714,0.98185,0.93803,0.09331,0.22675,0.06626,0.00062875,0.00062875,0.00062875
17,1841.36,0.13112,0.27306,0.06718,0.95322,0.96989,0.97562,0.93025,0.09265,0.23118,0.06723,0.000604,0.000604,0.000604
18,1949.45,0.12699,0.26712,0.06213,0.96936,0.97981,0.98945,0.95168,0.08772,0.21448,0.0637,0.00057925,0.00057925,0.00057925
19,2057.75,0.12206,0.27213,0.06179,0.97437,0.95223,0.98535,0.94168,0.09355,0.236,0.06705,0.0005545,0.0005545,0.0005545
20,2165.26,0.12367,0.2697,0.06214,0.95853,0.97756,0.98631,0.94163,0.09332,0.21877,0.0669,0.00052975,0.00052975,0.00052975
21,2273.27,0.12291,0.27126,0.06344,0.96559,0.98172,0.98649,0.94492,0.08988,0.22197,0.06403,0.000505,0.000505,0.000505
