epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0245,0.58645,1.06415,0.97609,0.9716,0.96732,0.98606,0.90211,0.42079,0.49169,0.84135,0.000331707,0.000331707,0.067161
2,83.877,0.54806,0.60419,0.96029,0.97945,0.97355,0.97931,0.88812,0.45076,0.42276,0.84619,0.000648581,0.000648581,0.0341445
3,124.012,0.53253,0.54808,0.95011,0.85783,0.89954,0.85405,0.75443,0.44045,0.70471,0.84741,0.000948954,0.000948954,0.00111156
4,163.523,0.517,0.5108,0.94556,0.97886,0.97999,0.98697,0.90774,0.40648,0.35271,0.84008,0.00092575,0.00092575,0.00092575
5,203.354,0.51345,0.48148,0.9446,0.97925,0.97434,0.98575,0.90974,0.38547,0.34752,0.82389,0.000901,0.000901,0.000901
6,243.137,0.49666,0.46539,0.9398,0.9732,0.97654,0.98253,0.913,0.37914,0.33892,0.82086,0.00087625,0.00087625,0.00087625
7,282.411,0.48662,0.43758,0.92927,0.9814,0.97371,0.99005,0.92031,0.368,0.31008,0.81824,0.0008515,0.0008515,0.0008515
8,321.563,0.48086,0.43958,0.92818,0.98111,0.97149,0.98341,0.91129,0.38423,0.32564,0.82342,0.00082675,0.00082675,0.00082675
9,360.829,0.46894,0.41336,0.9249,0.98016,0.97432,0.98285,0.91535,0.37136,0.32415,0.81872,0.000802,0.000802,0.000802
10,400.501,0.47071,0.40198,0.92837,0.97898,0.98096,0.99255,0.9291,0.3658,0.29005,0.81814,0.00077725,0.00077725,0.00077725
11,440.004,0.46576,0.39835,0.9229,0.97549,0.97381,0.98492,0.9251,0.36091,0.30105,0.81622,0.0007525,0.0007525,0.0007525
12,479.89,0.46027,0.39214,0.91283,0.98379,0.97433,0.98948,0.9278,0.36222,0.29145,0.81825,0.00072775,0.00072775,0.00072775
13,519.41,0.45411,0.38139,0.91554,0.97095,0.99209,0.99349,0.92488,0.38231,0.28865,0.81781,0.000703,0.000703,0.000703
14,559.278,0.4471,0.36691,0.91334,0.98554,0.97185,0.99347,0.93683,0.35842,0.2748,0.81232,0.00067825,0.00067825,0.00067825
15,599.154,0.43241,0.35438,0.90373,0.98516,0.98236,0.99389,0.93782,0.35327,0.25683,0.81283,0.0006535,0.0006535,0.0006535
16,638.583,0.43896,0.348,0.90799,0.98547,0.98329,0.99289,0.93075,0.35345,0.25649,0.81284,0.00062875,0.00062875,0.00062875
17,677.682,0.43681,0.34587,0.90808,0.97875,0.98955,0.9903,0.93323,0.34833,0.25012,0.81035,0.000604,0.000604,0.000604
18,717.017,0.42684,0.33058,0.90159,0.98381,0.99532,0.99343,0.94042,0.33444,0.23931,0.80672,0.00057925,0.00057925,0.00057925
19,755.918,0.41999,0.32717,0.90173,0.98214,0.9784,0.99369,0.94183,0.34048,0.26393,0.80758,0.0005545,0.0005545,0.0005545
20,794.851,0.41742,0.32862,0.90013,0.98874,0.97218,0.99097,0.94065,0.33414,0.25652,0.80749,0.00052975,0.00052975,0.00052975
21,834.091,0.41801,0.33737,0.90136,0.98704,0.99453,0.99371,0.94329,0.33755,0.22879,0.80814,0.000505,0.000505,0.000505
22,873.353,0.42183,0.31421,0.90396,0.98842,0.97863,0.99435,0.93872,0.34216,0.25297,0.80879,0.00048025,0.00048025,0.00048025
23,912.407,0.4113,0.31751,0.89824,0.98691,0.97323,0.99394,0.94026,0.34558,0.26422,0.80973,0.0004555,0.0004555,0.0004555
24,951.649,0.40757,0.30448,0.89338,0.98877,0.99048,0.99373,0.94366,0.33317,0.22682,0.8079,0.00043075,0.00043075,0.00043075
25,990.894,0.40933,0.30368,0.89468,0.98664,0.98556,0.9941,0.9407,0.34196,0.22186,0.80974,0.000406,0.000406,0.000406
26,1029.86,0.39723,0.29431,0.89118,0.97447,0.99286,0.99369,0.94129,0.33335,0.2296,0.80627,0.00038125,0.00038125,0.00038125
27,1069.02,0.40294,0.30028,0.89138,0.97349,0.99108,0.99345,0.94023,0.33743,0.23779,0.80851,0.0003565,0.0003565,0.0003565
28,1108.2,0.39961,0.29167,0.8935,0.9887,0.98775,0.99388,0.94479,0.32747,0.224,0.80262,0.00033175,0.00033175,0.00033175
29,1147.62,0.39381,0.2883,0.88866,0.99114,0.99042,0.99345,0.94968,0.32566,0.21741,0.80408,0.000307,0.000307,0.000307
30,1186.77,0.39376,0.28178,0.88852,0.99314,0.99076,0.99323,0.94637,0.32153,0.20339,0.80139,0.00028225,0.00028225,0.00028225
31,1223.81,0.33413,0.23479,0.81996,0.9866,0.98956,0.99339,0.94511,0.33655,0.23349,0.80601,0.0002575,0.0002575,0.0002575
32,1261.04,0.33321,0.2316,0.82274,0.99072,0.98881,0.99297,0.94532,0.32065,0.21216,0.80268,0.00023275,0.00023275,0.00023275
33,1298.18,0.32578,0.21965,0.81595,0.99087,0.9921,0.99407,0.9456,0.32859,0.20982,0.80225,0.000208,0.000208,0.000208
34,1335.6,0.32504,0.21807,0.82234,0.98482,0.98662,0.99303,0.9474,0.31674,0.21258,0.80039,0.00018325,0.00018325,0.00018325
35,1373.28,0.31956,0.21302,0.81945,0.98188,0.98945,0.99304,0.951,0.32196,0.21346,0.8008,0.0001585,0.0001585,0.0001585
36,1410.51,0.31775,0.21268,0.81491,0.98233,0.98104,0.99197,0.94977,0.31863,0.22254,0.80068,0.00013375,0.00013375,0.00013375
37,1447.56,0.31189,0.20217,0.80995,0.99422,0.99108,0.99386,0.9516,0.31719,0.18836,0.79954,0.000109,0.000109,0.000109
38,1484.61,0.30956,0.19591,0.81203,0.99239,0.99024,0.99401,0.95114,0.31663,0.19171,0.79946,8.425e-05,8.425e-05,8.425e-05
