image_id,file_name,split
815,804.jpg,train
1801,1782.jpg,train
1548,1529.jpg,train
1438,1419.jpg,train
24,24.jpg,train
693,686.jpg,train
464,464.jpg,train
1313,1294.jpg,train
962,944.jpg,train
2212,2193.jpg,train
374,374.jpg,train
674,668.jpg,train
1190,1171.jpg,train
5,5.jpg,train
1918,1899.jpg,train
1461,1442.jpg,train
1880,1861.jpg,train
1799,1780.jpg,train
2218,2199.jpg,train
207,207.jpg,train
1553,1534.jpg,train
1310,1291.jpg,train
46,46.jpg,train
944,927.jpg,train
1628,1609.jpg,train
2339,2320.jpg,train
893,877.jpg,train
2074,2055.jpg,train
1750,1731.jpg,train
805,794.jpg,train
1636,1617.jpg,train
50,50.jpg,train
92,92.jpg,train
138,138.jpg,train
1719,1700.jpg,train
1713,1694.jpg,train
2,2.jpg,train
2042,2023.jpg,train
1208,1189.jpg,train
589,585.jpg,train
1442,1423.jpg,train
2073,2054.jpg,train
1659,1640.jpg,train
1910,1891.jpg,train
1784,1765.jpg,train
1093,1074.jpg,train
37,37.jpg,train
125,125.jpg,train
740,731.jpg,train
1643,1624.jpg,train
558,556.jpg,train
194,194.jpg,train
2111,2092.jpg,train
1987,1968.jpg,train
942,925.jpg,train
2032,2013.jpg,train
2327,2308.jpg,train
1841,1822.jpg,train
1065,1046.jpg,train
1101,1082.jpg,train
423,423.jpg,train
2186,2167.jpg,train
1834,1815.jpg,train
1546,1527.jpg,train
1691,1672.jpg,train
555,553.jpg,train
253,253.jpg,train
1210,1191.jpg,train
413,413.jpg,train
480,480.jpg,train
2016,1997.jpg,train
1848,1829.jpg,train
1455,1436.jpg,train
1611,1592.jpg,train
2135,2116.jpg,train
2131,2112.jpg,train
353,353.jpg,train
1285,1266.jpg,train
422,422.jpg,train
1702,1683.jpg,train
1290,1271.jpg,train
2054,2035.jpg,train
1786,1767.jpg,train
902,886.jpg,train
1349,1330.jpg,train
1706,1687.jpg,train
703,696.jpg,train
2297,2278.jpg,train
38,38.jpg,train
2205,2186.jpg,train
1585,1566.jpg,train
928,911.jpg,train
1420,1401.jpg,train
1567,1548.jpg,train
2188,2169.jpg,train
1338,1319.jpg,train
2197,2178.jpg,train
2023,2004.jpg,train
1533,1514.jpg,train
879,863.jpg,train
212,212.jpg,train
657,651.jpg,train
1582,1563.jpg,train
1807,1788.jpg,train
355,355.jpg,train
1865,1846.jpg,train
161,161.jpg,train
1221,1202.jpg,train
1108,1089.jpg,train
108,108.jpg,train
364,364.jpg,train
1983,1964.jpg,train
1518,1499.jpg,train
989,971.jpg,train
1555,1536.jpg,train
153,153.jpg,train
1725,1706.jpg,train
1726,1707.jpg,train
468,468.jpg,train
400,400.jpg,train
947,929.jpg,train
1464,1445.jpg,train
1759,1740.jpg,train
1036,1017.jpg,train
776,767.jpg,train
1341,1322.jpg,train
1845,1826.jpg,train
375,375.jpg,train
2346,2327.jpg,train
446,446.jpg,train
946,928.jpg,train
1495,1476.jpg,train
73,73.jpg,train
949,931.jpg,train
1368,1349.jpg,train
2078,2059.jpg,train
743,734.jpg,train
1817,1798.jpg,train
567,564.jpg,train
925,908.jpg,train
1715,1696.jpg,train
1728,1709.jpg,train
216,216.jpg,train
1679,1660.jpg,train
1912,1893.jpg,train
707,700.jpg,train
169,169.jpg,train
1561,1542.jpg,train
1678,1659.jpg,train
2303,2284.jpg,train
529,528.jpg,train
731,723.jpg,train
1646,1627.jpg,train
300,300.jpg,train
1866,1847.jpg,train
1071,1052.jpg,train
1254,1235.jpg,train
2329,2310.jpg,train
1145,1126.jpg,train
2017,1998.jpg,train
1618,1599.jpg,train
2128,2109.jpg,train
1730,1711.jpg,train
1246,1227.jpg,train
525,524.jpg,train
1469,1450.jpg,train
201,201.jpg,train
1277,1258.jpg,train
2272,2253.jpg,train
1257,1238.jpg,train
1041,1022.jpg,train
1264,1245.jpg,train
1788,1769.jpg,train
2190,2171.jpg,train
184,184.jpg,train
646,642.jpg,train
127,127.jpg,train
599,595.jpg,train
1867,1848.jpg,train
1562,1543.jpg,train
1911,1892.jpg,train
1076,1057.jpg,train
1920,1901.jpg,train
251,251.jpg,train
2291,2272.jpg,train
427,427.jpg,train
273,273.jpg,train
959,941.jpg,train
1004,985.jpg,train
403,403.jpg,train
1856,1837.jpg,train
813,802.jpg,train
2185,2166.jpg,train
2007,1988.jpg,train
930,913.jpg,train
625,621.jpg,train
89,89.jpg,train
2154,2135.jpg,train
780,771.jpg,train
2321,2302.jpg,train
746,737.jpg,train
2109,2090.jpg,train
307,307.jpg,train
1887,1868.jpg,train
401,401.jpg,train
1854,1835.jpg,train
1270,1251.jpg,train
1978,1959.jpg,train
1803,1784.jpg,train
1746,1727.jpg,train
629,625.jpg,train
416,416.jpg,train
1976,1957.jpg,train
55,55.jpg,train
429,429.jpg,train
1979,1960.jpg,train
1358,1339.jpg,train
2256,2237.jpg,train
2055,2036.jpg,train
31,31.jpg,train
1853,1834.jpg,train
1419,1400.jpg,train
1569,1550.jpg,train
1683,1664.jpg,train
2239,2220.jpg,train
1601,1582.jpg,train
1470,1451.jpg,train
267,267.jpg,train
2113,2094.jpg,train
1487,1468.jpg,train
1457,1438.jpg,train
651,646.jpg,train
1772,1753.jpg,train
252,252.jpg,train
136,136.jpg,train
1480,1461.jpg,train
308,308.jpg,train
442,442.jpg,train
478,478.jpg,train
829,816.jpg,train
1182,1163.jpg,train
1154,1135.jpg,train
116,116.jpg,train
2210,2191.jpg,train
1613,1594.jpg,train
1454,1435.jpg,train
508,508.jpg,train
732,724.jpg,train
933,916.jpg,train
1591,1572.jpg,train
2112,2093.jpg,train
1931,1912.jpg,train
1699,1680.jpg,train
1850,1831.jpg,train
2132,2113.jpg,train
519,519.jpg,train
65,65.jpg,train
18,18.jpg,train
225,225.jpg,train
376,376.jpg,train
937,920.jpg,train
2330,2311.jpg,train
1204,1185.jpg,train
1787,1768.jpg,train
2133,2114.jpg,train
572,569.jpg,train
1069,1050.jpg,train
1259,1240.jpg,train
1077,1058.jpg,train
335,335.jpg,train
1177,1158.jpg,train
2174,2155.jpg,train
692,685.jpg,train
504,504.jpg,train
1980,1961.jpg,train
1115,1096.jpg,train
229,229.jpg,train
1383,1364.jpg,train
2191,2172.jpg,train
1615,1596.jpg,train
288,288.jpg,train
1844,1825.jpg,train
1174,1155.jpg,train
725,718.jpg,train
334,334.jpg,train
597,593.jpg,train
723,716.jpg,train
990,972.jpg,train
858,843.jpg,train
1237,1218.jpg,train
137,137.jpg,train
266,266.jpg,train
1016,997.jpg,train
747,738.jpg,train
1332,1313.jpg,train
936,919.jpg,train
1936,1917.jpg,train
2030,2011.jpg,train
483,483.jpg,train
1186,1167.jpg,train
445,445.jpg,train
487,487.jpg,train
2000,1981.jpg,train
1223,1204.jpg,train
1189,1170.jpg,train
1448,1429.jpg,train
346,346.jpg,train
1013,994.jpg,train
843,830.jpg,train
2206,2187.jpg,train
1775,1756.jpg,train
1396,1377.jpg,train
2274,2255.jpg,train
1637,1618.jpg,train
1007,988.jpg,train
1202,1183.jpg,train
2326,2307.jpg,train
1206,1187.jpg,train
2027,2008.jpg,train
697,690.jpg,train
2241,2222.jpg,train
151,151.jpg,train
1889,1870.jpg,train
388,388.jpg,train
2296,2277.jpg,train
614,610.jpg,train
1855,1836.jpg,train
381,381.jpg,train
246,246.jpg,train
1278,1259.jpg,train
1573,1554.jpg,train
2065,2046.jpg,train
1798,1779.jpg,train
1609,1590.jpg,train
2337,2318.jpg,train
581,577.jpg,train
833,820.jpg,train
171,171.jpg,train
2077,2058.jpg,train
1736,1717.jpg,train
1370,1351.jpg,train
2024,2005.jpg,train
370,370.jpg,train
577,574.jpg,train
845,831.jpg,train
183,183.jpg,train
2182,2163.jpg,train
2270,2251.jpg,train
2037,2018.jpg,train
2039,2020.jpg,train
1724,1705.jpg,train
1745,1726.jpg,train
1993,1974.jpg,train
200,200.jpg,train
11,11.jpg,train
2053,2034.jpg,train
663,657.jpg,train
1431,1412.jpg,train
1965,1946.jpg,train
1802,1783.jpg,train
35,35.jpg,train
534,532.jpg,train
2143,2124.jpg,train
903,887.jpg,train
2246,2227.jpg,train
1488,1469.jpg,train
1266,1247.jpg,train
214,214.jpg,train
484,484.jpg,train
600,596.jpg,train
1282,1263.jpg,train
315,315.jpg,train
1820,1801.jpg,train
1720,1701.jpg,train
1458,1439.jpg,train
1485,1466.jpg,train
1003,984.jpg,train
1472,1453.jpg,train
806,795.jpg,train
264,264.jpg,train
1214,1195.jpg,train
2120,2101.jpg,train
275,275.jpg,train
1343,1324.jpg,train
1846,1827.jpg,train
1193,1174.jpg,train
33,33.jpg,train
1580,1561.jpg,train
2035,2016.jpg,train
328,328.jpg,train
1357,1338.jpg,train
1581,1562.jpg,train
25,25.jpg,train
1890,1871.jpg,train
585,581.jpg,train
1086,1067.jpg,train
148,148.jpg,train
1415,1396.jpg,train
1796,1777.jpg,train
2240,2221.jpg,train
1194,1175.jpg,train
1226,1207.jpg,train
1335,1316.jpg,train
1327,1308.jpg,train
793,783.jpg,train
1690,1671.jpg,train
10,10.jpg,train
2085,2066.jpg,train
2301,2282.jpg,train
1001,982.jpg,train
530,529.jpg,train
1392,1373.jpg,train
362,362.jpg,train
389,389.jpg,train
1068,1049.jpg,train
1827,1808.jpg,train
1535,1516.jpg,train
763,754.jpg,train
1231,1212.jpg,train
1314,1295.jpg,train
75,75.jpg,train
1858,1839.jpg,train
1635,1616.jpg,train
779,770.jpg,train
1888,1869.jpg,train
736,728.jpg,train
164,164.jpg,train
15,15.jpg,train
1152,1133.jpg,train
458,458.jpg,train
2167,2148.jpg,train
198,198.jpg,train
121,121.jpg,train
1791,1772.jpg,train
477,477.jpg,train
1382,1363.jpg,train
28,28.jpg,train
1245,1226.jpg,train
2229,2210.jpg,train
929,912.jpg,train
1968,1949.jpg,train
1544,1525.jpg,train
774,765.jpg,train
709,702.jpg,train
224,224.jpg,train
1823,1804.jpg,train
1024,1005.jpg,train
2220,2201.jpg,train
231,231.jpg,train
140,140.jpg,train
1839,1820.jpg,train
872,857.jpg,train
985,967.jpg,train
2163,2144.jpg,train
762,753.jpg,train
2224,2205.jpg,train
265,265.jpg,train
540,538.jpg,train
365,365.jpg,train
807,796.jpg,train
1375,1356.jpg,train
2080,2061.jpg,train
659,653.jpg,train
247,247.jpg,train
2222,2203.jpg,train
2001,1982.jpg,train
2298,2279.jpg,train
1735,1716.jpg,train
968,950.jpg,train
310,310.jpg,train
2231,2212.jpg,train
1815,1796.jpg,train
875,860.jpg,train
886,870.jpg,train
1598,1579.jpg,train
1083,1064.jpg,train
258,258.jpg,train
196,196.jpg,train
1769,1750.jpg,train
551,549.jpg,train
1287,1268.jpg,train
2020,2001.jpg,train
2286,2267.jpg,train
2287,2268.jpg,train
1954,1935.jpg,train
1849,1830.jpg,train
189,189.jpg,train
1042,1023.jpg,train
670,664.jpg,train
1977,1958.jpg,train
2146,2127.jpg,train
713,706.jpg,train
1213,1194.jpg,train
722,715.jpg,train
1510,1491.jpg,train
921,904.jpg,train
120,120.jpg,train
966,948.jpg,train
811,800.jpg,train
2193,2174.jpg,train
784,774.jpg,train
758,749.jpg,train
1757,1738.jpg,train
228,228.jpg,train
497,497.jpg,train
122,122.jpg,train
1143,1124.jpg,train
563,561.jpg,train
1298,1279.jpg,train
1050,1031.jpg,train
23,23.jpg,train
1667,1648.jpg,train
170,170.jpg,train
1061,1042.jpg,train
1909,1890.jpg,train
158,158.jpg,train
1064,1045.jpg,train
2184,2165.jpg,train
345,345.jpg,train
2117,2098.jpg,train
801,790.jpg,train
104,104.jpg,train
1762,1743.jpg,train
1947,1928.jpg,train
2025,2006.jpg,train
700,693.jpg,train
786,776.jpg,train
197,197.jpg,train
1462,1443.jpg,train
2290,2271.jpg,train
2038,2019.jpg,train
2098,2079.jpg,train
1664,1645.jpg,train
1417,1398.jpg,train
19,19.jpg,train
979,961.jpg,train
1133,1114.jpg,train
1934,1915.jpg,train
1907,1888.jpg,train
2342,2323.jpg,train
958,940.jpg,train
752,743.jpg,train
2243,2224.jpg,train
1129,1110.jpg,train
835,822.jpg,train
2134,2115.jpg,train
934,917.jpg,train
1432,1413.jpg,train
145,145.jpg,train
734,726.jpg,train
645,641.jpg,train
1556,1537.jpg,train
1203,1184.jpg,train
717,710.jpg,train
1908,1889.jpg,train
97,97.jpg,train
816,805.jpg,train
882,866.jpg,train
343,343.jpg,train
2226,2207.jpg,train
347,347.jpg,train
2320,2301.jpg,train
2317,2298.jpg,train
290,290.jpg,train
825,812.jpg,train
2211,2192.jpg,train
2091,2072.jpg,train
538,536.jpg,train
1453,1434.jpg,train
1657,1638.jpg,train
1100,1081.jpg,train
1898,1879.jpg,train
1676,1657.jpg,train
177,177.jpg,train
1826,1807.jpg,train
