epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4586,0.58139,3.93163,0.0049,0.74751,0.60218,0.82058,0.77025,0.37285,4.82435,0.00422,0.000471709,0.000471709,0.000471709
2,65.1666,0.56551,2.384,0.0046,0.88259,0.88731,0.93971,0.8697,0.40891,2.8119,0.00478,0.000924578,0.000924578,0.000924578
3,81.6942,0.58552,1.6613,0.00496,0.88191,0.90702,0.95387,0.85909,0.50393,1.6791,0.00577,0.00135387,0.00135387,0.00135387
4,97.8352,0.60338,1.13686,0.00508,0.91961,0.91803,0.97687,0.92321,0.36069,1.05934,0.00414,0.0013229,0.0013229,0.0013229
5,113.703,0.57626,0.81017,0.00482,0.93291,0.93255,0.97784,0.92122,0.37051,0.74879,0.00425,0.00128753,0.00128753,0.00128753
6,129.914,0.54783,0.66714,0.00457,0.91598,0.90973,0.97236,0.90913,0.37914,0.58748,0.00438,0.00125216,0.00125216,0.00125216
7,146.175,0.52643,0.56105,0.00434,0.94629,0.92903,0.98075,0.9131,0.40233,0.46284,0.00476,0.00121679,0.00121679,0.00121679
8,162.238,0.54836,0.50069,0.00456,0.93286,0.94979,0.97489,0.91398,0.36827,0.41403,0.00422,0.00118143,0.00118143,0.00118143
9,178.332,0.54859,0.47614,0.00459,0.93203,0.95424,0.97694,0.92199,0.35429,0.37645,0.00409,0.00114606,0.00114606,0.00114606
10,194.374,0.51314,0.44281,0.00422,0.97111,0.93915,0.98464,0.89809,0.4449,0.33242,0.00524,0.00111069,0.00111069,0.00111069
11,210.483,0.52392,0.41677,0.00443,0.96634,0.97511,0.98733,0.91918,0.39823,0.27517,0.00465,0.00107532,0.00107532,0.00107532
12,226.629,0.48822,0.35131,0.00402,0.95607,0.96389,0.98662,0.9086,0.41729,0.27821,0.00503,0.00103995,0.00103995,0.00103995
